"Employee_ID","Job_Role","Stress_Level","Productivity_Change","Social_Isolation_Rating"
"EMP0008","Data Scientist","Medium","Decrease","5"
"EMP0020","Software Engineer","Medium","Decrease","4"
"EMP0022","Sales","Medium","Decrease","3"
"EMP0032","Marketing","Medium","Decrease","3"
"EMP0033","Project Manager","Medium","Decrease","5"
"EMP0055","Software Engineer","Medium","Decrease","4"
"EMP0100","Project Manager","Medium","Decrease","3"
"EMP0107","HR","Medium","Decrease","4"
"EMP0146","Marketing","Medium","Decrease","4"
"EMP0172","Data Scientist","Medium","Decrease","3"
"EMP0178","Project Manager","Medium","Decrease","3"
"EMP0180","HR","Medium","Decrease","3"
"EMP0181","Data Scientist","Medium","Decrease","5"
"EMP0187","HR","Medium","Decrease","5"
"EMP0194","Sales","Medium","Decrease","5"
"EMP0196","Sales","Medium","Decrease","5"
"EMP0229","Marketing","Medium","Decrease","3"
"EMP0243","Project Manager","Medium","Decrease","5"
"EMP0249","HR","Medium","Decrease","5"
"EMP0256","Project Manager","Medium","Decrease","5"
"EMP0258","Designer","Medium","Decrease","3"
"EMP0264","Project Manager","Medium","Decrease","3"
"EMP0267","Project Manager","Medium","Decrease","3"
"EMP0268","HR","Medium","Decrease","5"
"EMP0283","Data Scientist","Medium","Decrease","5"
"EMP0301","Designer","Medium","Decrease","5"
"EMP0302","HR","Medium","Decrease","4"
"EMP0305","Project Manager","Medium","Decrease","5"
"EMP0333","Software Engineer","Medium","Decrease","5"
"EMP0350","HR","Medium","Decrease","4"
"EMP0354","Data Scientist","Medium","Decrease","5"
"EMP0358","Designer","Medium","Decrease","4"
"EMP0360","HR","Medium","Decrease","4"
"EMP0412","Designer","Medium","Decrease","5"
"EMP0414","Project Manager","Medium","Decrease","3"
"EMP0421","HR","Medium","Decrease","4"
"EMP0438","Project Manager","Medium","Decrease","5"
"EMP0440","Software Engineer","Medium","Decrease","3"
"EMP0454","Marketing","Medium","Decrease","5"
"EMP0468","Project Manager","Medium","Decrease","5"
"EMP0473","Designer","Medium","Decrease","5"
"EMP0482","Sales","Medium","Decrease","3"
"EMP0495","Software Engineer","Medium","Decrease","5"
"EMP0515","Project Manager","Medium","Decrease","4"
"EMP0524","Project Manager","Medium","Decrease","4"
"EMP0574","Marketing","Medium","Decrease","4"
"EMP0576","Project Manager","Medium","Decrease","4"
"EMP0582","Marketing","Medium","Decrease","4"
"EMP0584","HR","Medium","Decrease","4"
"EMP0589","Designer","Medium","Decrease","4"
"EMP0612","HR","Medium","Decrease","4"
"EMP0613","Marketing","Medium","Decrease","3"
"EMP0627","Software Engineer","Medium","Decrease","3"
"EMP0645","Sales","Medium","Decrease","3"
"EMP0652","HR","Medium","Decrease","4"
"EMP0657","Software Engineer","Medium","Decrease","3"
"EMP0690","Software Engineer","Medium","Decrease","4"
"EMP0697","HR","Medium","Decrease","3"
"EMP0708","Project Manager","Medium","Decrease","3"
"EMP0730","Project Manager","Medium","Decrease","3"
"EMP0764","Software Engineer","Medium","Decrease","3"
"EMP0765","Software Engineer","Medium","Decrease","3"
"EMP0778","Marketing","Medium","Decrease","4"
"EMP0801","Marketing","Medium","Decrease","5"
"EMP0816","Software Engineer","Medium","Decrease","3"
"EMP0819","Marketing","Medium","Decrease","3"
"EMP0830","Marketing","Medium","Decrease","3"
"EMP0907","Designer","Medium","Decrease","5"
"EMP0915","Designer","Medium","Decrease","3"
"EMP0928","Sales","Medium","Decrease","3"
"EMP0935","Software Engineer","Medium","Decrease","4"
"EMP0942","HR","Medium","Decrease","5"
"EMP0971","Software Engineer","Medium","Decrease","4"
"EMP0991","Software Engineer","Medium","Decrease","5"
"EMP1004","HR","Medium","Decrease","4"
"EMP1011","Sales","Medium","Decrease","4"
"EMP1018","Designer","Medium","Decrease","5"
"EMP1031","HR","Medium","Decrease","3"
"EMP1033","Designer","Medium","Decrease","4"
"EMP1067","Project Manager","Medium","Decrease","5"
"EMP1096","HR","Medium","Decrease","4"
"EMP1113","Data Scientist","Medium","Decrease","4"
"EMP1120","Sales","Medium","Decrease","5"
"EMP1123","Marketing","Medium","Decrease","3"
"EMP1125","Project Manager","Medium","Decrease","4"
"EMP1128","Sales","Medium","Decrease","4"
"EMP1148","Designer","Medium","Decrease","4"
"EMP1167","Project Manager","Medium","Decrease","4"
"EMP1173","HR","Medium","Decrease","5"
"EMP1174","Designer","Medium","Decrease","4"
"EMP1192","Designer","Medium","Decrease","4"
"EMP1203","Software Engineer","Medium","Decrease","3"
"EMP1208","Sales","Medium","Decrease","4"
"EMP1211","HR","Medium","Decrease","5"
"EMP1228","Data Scientist","Medium","Decrease","3"
"EMP1243","Data Scientist","Medium","Decrease","5"
"EMP1274","Project Manager","Medium","Decrease","4"
"EMP1281","Data Scientist","Medium","Decrease","4"
"EMP1302","Project Manager","Medium","Decrease","5"
