"Employee_ID","Gender","Work_Location","Access_to_Mental_Health_Resources"
"EMP0005","Male","Onsite","Yes"
"EMP0009","Prefer not to say","Hybrid","Yes"
"EMP0011","Non-binary","Remote","Yes"
"EMP0013","Female","Remote","Yes"
"EMP0015","Prefer not to say","Remote","Yes"
"EMP0027","Non-binary","Onsite","No"
"EMP0029","Prefer not to say","Onsite","Yes"
"EMP0041","Non-binary","Remote","No"
"EMP0048","Female","Remote","No"
"EMP0051","Non-binary","Onsite","Yes"
"EMP0068","Female","Remote","Yes"
"EMP0069","Female","Onsite","Yes"
"EMP0074","Non-binary","Hybrid","Yes"
"EMP0081","Female","Hybrid","No"
"EMP0092","Female","Onsite","No"
"EMP0094","Non-binary","Remote","Yes"
"EMP0095","Non-binary","Onsite","No"
"EMP0097","Male","Hybrid","No"
"EMP0108","Prefer not to say","Hybrid","No"
"EMP0121","Prefer not to say","Onsite","No"
"EMP0128","Female","Remote","Yes"
"EMP0141","Non-binary","Onsite","Yes"
"EMP0149","Female","Onsite","Yes"
"EMP0151","Female","Remote","Yes"
"EMP0157","Prefer not to say","Hybrid","No"
"EMP0199","Male","Remote","Yes"
"EMP0200","Female","Remote","No"
"EMP0209","Male","Remote","Yes"
"EMP0224","Non-binary","Hybrid","Yes"
"EMP0244","Prefer not to say","Remote","No"
"EMP0274","Non-binary","Hybrid","No"
"EMP0277","Female","Remote","No"
"EMP0288","Prefer not to say","Hybrid","Yes"
"EMP0291","Male","Hybrid","No"
"EMP0292","Prefer not to say","Hybrid","Yes"
"EMP0314","Male","Onsite","Yes"
"EMP0325","Female","Hybrid","No"
"EMP0337","Female","Onsite","Yes"
"EMP0346","Female","Remote","No"
"EMP0351","Prefer not to say","Remote","Yes"
"EMP0380","Male","Remote","No"
"EMP0388","Female","Hybrid","No"
"EMP0400","Prefer not to say","Remote","Yes"
"EMP0407","Prefer not to say","Onsite","Yes"
"EMP0423","Male","Hybrid","No"
"EMP0433","Non-binary","Hybrid","Yes"
"EMP0435","Female","Onsite","Yes"
"EMP0443","Non-binary","Hybrid","Yes"
"EMP0450","Male","Hybrid","Yes"
"EMP0463","Prefer not to say","Remote","No"
"EMP0466","Prefer not to say","Onsite","No"
"EMP0472","Female","Remote","No"
"EMP0478","Female","Remote","No"
"EMP0481","Female","Hybrid","No"
"EMP0494","Male","Remote","Yes"
"EMP0512","Male","Hybrid","Yes"
"EMP0520","Prefer not to say","Hybrid","Yes"
"EMP0532","Male","Hybrid","Yes"
"EMP0535","Non-binary","Hybrid","Yes"
"EMP0550","Male","Onsite","Yes"
"EMP0552","Male","Hybrid","No"
"EMP0553","Non-binary","Onsite","Yes"
"EMP0556","Non-binary","Remote","No"
"EMP0564","Prefer not to say","Remote","Yes"
"EMP0566","Male","Onsite","No"
"EMP0568","Prefer not to say","Hybrid","Yes"
"EMP0594","Prefer not to say","Remote","Yes"
"EMP0602","Non-binary","Onsite","No"
"EMP0604","Female","Hybrid","Yes"
"EMP0605","Female","Hybrid","No"
"EMP0611","Prefer not to say","Hybrid","Yes"
"EMP0618","Male","Remote","No"
"EMP0620","Prefer not to say","Onsite","No"
"EMP0621","Non-binary","Hybrid","No"
"EMP0639","Non-binary","Hybrid","Yes"
"EMP0656","Male","Remote","Yes"
"EMP0660","Non-binary","Onsite","Yes"
"EMP0665","Prefer not to say","Onsite","Yes"
"EMP0677","Female","Remote","No"
"EMP0698","Female","Hybrid","No"
"EMP0710","Female","Onsite","Yes"
"EMP0719","Male","Onsite","Yes"
"EMP0725","Prefer not to say","Hybrid","Yes"
"EMP0734","Female","Onsite","Yes"
"EMP0742","Female","Remote","No"
"EMP0749","Female","Remote","Yes"
"EMP0754","Female","Remote","No"
"EMP0762","Male","Hybrid","Yes"
"EMP0781","Non-binary","Hybrid","Yes"
"EMP0785","Prefer not to say","Remote","No"
"EMP0788","Non-binary","Remote","Yes"
"EMP0794","Male","Remote","No"
"EMP0799","Male","Onsite","Yes"
"EMP0821","Prefer not to say","Remote","No"
"EMP0833","Male","Remote","Yes"
"EMP0840","Prefer not to say","Onsite","Yes"
"EMP0843","Prefer not to say","Remote","Yes"
"EMP0844","Prefer not to say","Onsite","Yes"
"EMP0849","Non-binary","Onsite","Yes"
"EMP0872","Non-binary","Onsite","Yes"
"EMP0880","Female","Onsite","No"
"EMP0905","Non-binary","Hybrid","No"
"EMP0918","Female","Hybrid","No"
"EMP0924","Female","Hybrid","Yes"
"EMP0927","Prefer not to say","Remote","Yes"
"EMP0939","Non-binary","Remote","Yes"
"EMP0941","Non-binary","Onsite","Yes"
"EMP0959","Prefer not to say","Hybrid","Yes"
"EMP0967","Non-binary","Remote","No"
"EMP0974","Female","Remote","No"
"EMP0981","Non-binary","Onsite","Yes"
"EMP0982","Female","Hybrid","Yes"
"EMP1003","Female","Hybrid","No"
"EMP1006","Female","Onsite","Yes"
"EMP1010","Female","Hybrid","Yes"
"EMP1028","Non-binary","Remote","No"
"EMP1034","Prefer not to say","Hybrid","Yes"
"EMP1051","Non-binary","Onsite","No"
"EMP1056","Female","Remote","No"
"EMP1077","Male","Onsite","No"
"EMP1085","Male","Hybrid","Yes"
"EMP1089","Prefer not to say","Onsite","No"
"EMP1090","Non-binary","Remote","No"
"EMP1100","Female","Remote","Yes"
"EMP1101","Prefer not to say","Remote","No"
"EMP1106","Male","Remote","No"
"EMP1110","Non-binary","Hybrid","No"
"EMP1118","Non-binary","Remote","Yes"
"EMP1142","Prefer not to say","Hybrid","No"
"EMP1162","Male","Onsite","No"
"EMP1182","Prefer not to say","Remote","No"
"EMP1186","Non-binary","Remote","Yes"
"EMP1194","Non-binary","Hybrid","No"
"EMP1195","Female","Hybrid","Yes"
"EMP1196","Prefer not to say","Remote","No"
"EMP1210","Prefer not to say","Hybrid","Yes"
"EMP1214","Female","Remote","Yes"
"EMP1227","Male","Hybrid","Yes"
"EMP1237","Non-binary","Remote","Yes"
"EMP1245","Prefer not to say","Onsite","Yes"
"EMP1252","Male","Onsite","Yes"
"EMP1256","Prefer not to say","Hybrid","Yes"
"EMP1258","Female","Hybrid","No"
"EMP1266","Prefer not to say","Remote","No"
"EMP1271","Male","Remote","No"
"EMP1286","Female","Remote","Yes"
"EMP1287","Female","Hybrid","No"
"EMP1289","Prefer not to say","Remote","No"
"EMP1297","Male","Onsite","No"
"EMP1325","Non-binary","Onsite","Yes"
"EMP1326","Male","Remote","Yes"
"EMP1333","Non-binary","Remote","Yes"
"EMP1342","Non-binary","Onsite","No"
"EMP1357","Non-binary","Onsite","Yes"
"EMP1366","Prefer not to say","Hybrid","No"
"EMP1374","Prefer not to say","Remote","Yes"
"EMP1382","Prefer not to say","Onsite","Yes"
"EMP1388","Male","Onsite","Yes"
"EMP1394","Prefer not to say","Onsite","No"
"EMP1403","Female","Hybrid","Yes"
"EMP1407","Female","Remote","No"
"EMP1411","Non-binary","Remote","No"
"EMP1445","Non-binary","Remote","Yes"
"EMP1486","Male","Onsite","Yes"
"EMP1492","Male","Remote","Yes"
"EMP1493","Prefer not to say","Onsite","No"
"EMP1501","Female","Onsite","No"
"EMP1521","Prefer not to say","Onsite","No"
"EMP1523","Non-binary","Remote","No"
"EMP1524","Non-binary","Onsite","No"
"EMP1535","Non-binary","Hybrid","Yes"
"EMP1547","Female","Hybrid","No"
"EMP1548","Prefer not to say","Onsite","No"
"EMP1552","Non-binary","Onsite","Yes"
"EMP1566","Male","Onsite","No"
"EMP1571","Non-binary","Hybrid","Yes"
"EMP1572","Non-binary","Onsite","Yes"
"EMP1578","Prefer not to say","Hybrid","No"
"EMP1579","Prefer not to say","Remote","Yes"
"EMP1582","Non-binary","Remote","No"
"EMP1592","Male","Onsite","No"
"EMP1617","Male","Hybrid","No"
"EMP1621","Male","Remote","Yes"
"EMP1624","Female","Hybrid","Yes"
"EMP1629","Male","Hybrid","Yes"
"EMP1632","Male","Onsite","Yes"
"EMP1642","Prefer not to say","Remote","Yes"
"EMP1655","Prefer not to say","Remote","No"
"EMP1656","Non-binary","Onsite","No"
"EMP1661","Female","Hybrid","No"
"EMP1680","Female","Hybrid","Yes"
"EMP1685","Male","Onsite","Yes"
"EMP1687","Female","Onsite","No"
"EMP1696","Prefer not to say","Remote","No"
"EMP1706","Non-binary","Remote","Yes"
"EMP1707","Female","Hybrid","Yes"
"EMP1715","Female","Hybrid","Yes"
"EMP1726","Prefer not to say","Hybrid","No"
"EMP1729","Non-binary","Remote","No"
"EMP1730","Prefer not to say","Hybrid","No"
"EMP1746","Female","Hybrid","No"
"EMP1752","Non-binary","Onsite","No"
"EMP1772","Non-binary","Hybrid","Yes"
"EMP1783","Female","Hybrid","No"
"EMP1785","Prefer not to say","Remote","Yes"
"EMP1793","Female","Remote","Yes"
"EMP1817","Male","Hybrid","Yes"
"EMP1819","Female","Hybrid","No"
